Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
390,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.55,4.84,0.0,78.98,0.0,231.44,262.13,134.42,5.06,723.36
391,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.55,6.38,0.0,67.32,0.0,233.97,254.65,138.82,7.59,712.69
392,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.55,6.38,0.0,53.9,0.0,233.97,247.28,145.42,25.3,698.5
393,119.13,9.79,0.0,0.0,0.0,0.0,0.0,0.0,11.55,4.84,0.0,42.13,0.0,233.97,236.06,149.82,128.92,678.37
394,352.33,45.21,28.71,0.0,0.0,0.0,0.0,0.0,11.55,6.38,0.0,28.05,0.0,226.49,221.21,152.02,426.25,645.7
395,398.31,78.43,60.94,0.0,0.0,0.0,0.0,0.0,11.55,6.38,0.0,21.01,0.0,204.71,208.12,154.22,537.68,605.99
396,410.08,100.43,83.71,19.69,7.92,0.0,35.42,0.0,11.55,6.38,0.0,18.7,0.0,153.67,195.03,154.22,657.25,539.55
397,407.11,109.89,99.44,27.61,9.46,0.0,57.97,0.0,9.24,6.38,0.0,16.39,0.0,100.32,178.75,147.62,711.48,458.7
398,386.32,119.35,108.24,39.38,12.65,18.59,87.78,0.0,9.24,6.38,0.0,11.66,0.0,66.33,162.25,136.62,772.31,392.48
399,383.24,136.62,122.1,48.62,14.3,46.42,91.52,17.6,6.93,4.84,0.0,9.35,0.0,43.56,138.71,116.82,860.42,320.21
