Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
249,23.98,195.36,183.81,189.53,50.38,190.3,127.49,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.05,0.0
250,22.77,184.36,169.51,196.02,51.7,199.43,134.09,25.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.4,0.0
251,20.35,173.36,156.09,202.51,53.02,208.45,140.69,26.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.31,0.0
252,19.14,161.15,141.24,209.11,54.45,219.34,145.64,26.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.91,0.0
253,18.04,147.4,124.85,215.6,54.45,230.34,153.89,28.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.84,0.0
254,15.62,133.65,108.68,222.09,55.77,239.47,157.19,29.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.06,0.0
255,15.62,118.47,92.95,228.58,55.77,250.58,163.79,30.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.67,0.0
256,14.41,104.83,77.22,233.42,55.77,261.58,170.39,32.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.85,0.0
257,13.2,89.76,61.49,238.26,57.2,272.58,179.19,34.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.66,0.0
258,11.99,74.58,46.97,241.45,57.2,283.58,186.34,37.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.73,0.0
259,10.78,62.48,34.21,246.29,57.2,292.6,195.25,43.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.82,0.0
260,9.57,46.75,24.09,247.94,57.2,305.36,200.53,49.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.16,0.0
261,8.36,29.04,20.24,247.94,54.45,316.25,205.92,62.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.68,0.0
262,7.15,22.55,17.71,243.1,51.7,325.27,213.07,75.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.34,0.0
263,5.94,19.36,15.18,233.42,48.95,336.16,216.59,89.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.81,0.0
264,4.73,17.71,13.97,220.55,44.88,345.51,220.11,102.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.09,0.0
265,3.52,16.06,11.44,207.46,40.81,354.86,223.74,114.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.4,0.0
266,3.52,14.52,11.44,192.83,35.31,366.08,223.74,125.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.62,0.0
267,3.52,12.87,10.12,179.74,29.92,375.43,221.98,135.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.54,0.0
268,2.31,12.87,8.8,165.22,23.1,384.78,220.11,145.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.28,0.0
269,2.31,11.22,8.8,152.02,19.03,394.24,216.59,152.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.89,0.0
270,2.31,11.22,7.59,137.39,16.28,403.81,209.44,158.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.88,0.0
271,2.31,9.68,6.27,121.22,14.96,413.38,200.53,163.35,15.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.7,15.73
272,0.0,9.68,6.27,106.7,14.96,419.21,189.86,166.43,102.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.11,102.74
273,0.0,8.03,5.06,88.33,14.96,424.93,172.15,167.97,173.03,4.29,4.4,0.0,0.0,0.0,0.0,0.0,881.43,181.72
274,0.0,8.03,3.74,65.67,16.28,426.8,158.84,171.05,192.39,24.31,5.83,0.0,0.0,0.0,0.0,0.0,850.41,222.53
275,0.0,6.38,3.74,41.14,17.6,422.95,142.34,176.0,286.0,107.91,7.26,0.0,0.0,0.0,0.0,0.0,810.15,401.17
276,0.0,6.38,3.74,30.47,19.03,401.94,125.84,187.77,353.76,206.47,94.38,0.0,0.0,2.64,0.0,0.0,775.17,657.25
277,0.0,4.84,3.74,30.47,20.35,354.86,107.8,204.6,357.39,249.81,189.2,0.0,0.0,0.0,0.0,0.0,726.66,796.4
278,0.0,4.84,3.74,29.15,21.78,272.58,87.23,224.84,350.13,273.9,251.9,0.0,0.0,0.0,0.0,0.0,644.16,875.93
279,0.0,4.84,3.74,27.83,21.78,170.39,63.47,240.02,321.2,298.76,281.38,0.0,0.0,0.0,0.0,0.0,532.07,901.34
280,0.0,4.84,2.53,25.19,20.35,77.0,52.91,213.07,287.76,323.62,291.83,27.83,3.3,0.0,0.0,0.0,395.89,934.34
281,0.0,4.84,2.53,21.23,17.6,53.13,47.19,140.47,260.04,336.16,294.8,52.69,3.3,0.0,0.0,0.0,286.99,946.99
282,0.0,3.19,2.53,15.84,14.96,41.47,37.18,96.69,242.88,347.05,294.8,70.73,3.3,0.0,0.0,0.0,211.86,958.76
283,0.0,4.84,2.53,11.88,10.89,31.57,28.6,63.91,229.13,359.81,291.83,91.96,3.3,0.0,0.0,0.0,154.22,976.03
284,0.0,3.19,0.0,7.92,8.14,23.21,18.59,36.3,213.51,376.09,285.89,116.6,3.3,0.0,0.0,0.0,97.35,995.39
285,0.0,3.19,0.0,5.28,5.39,14.96,12.87,21.45,204.71,386.98,281.38,137.28,0.0,0.0,0.0,0.0,63.14,1010.35
286,0.0,3.19,2.53,3.96,2.64,9.9,7.15,13.42,199.43,390.61,279.95,151.69,0.0,0.0,0.0,0.0,42.79,1021.68
287,0.0,3.19,2.53,2.64,0.0,6.6,4.29,5.28,195.91,386.98,284.35,166.1,0.0,0.0,0.0,0.0,24.53,1033.34
288,0.0,3.19,2.53,2.64,0.0,4.95,0.0,0.0,192.39,379.72,291.83,178.09,0.0,0.0,0.0,0.0,13.31,1042.03
289,0.0,3.19,2.53,2.64,0.0,3.3,0.0,0.0,190.63,368.83,299.31,188.43,0.0,0.0,0.0,0.0,11.66,1047.2
290,0.0,3.19,0.0,0.0,0.0,3.3,0.0,0.0,188.87,357.94,306.68,193.6,0.0,0.0,0.0,0.0,6.49,1047.09
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.35,341.66,311.19,195.25,6.6,0.0,0.0,0.0,0.0,1040.05
292,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,181.83,328.9,312.62,191.84,11.66,2.64,0.0,0.0,3.19,1029.49
293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.31,316.47,312.62,188.43,14.96,2.64,2.53,0.0,0.0,1015.96
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.03,304.04,308.22,186.67,16.61,3.96,5.17,0.0,0.0,997.7
295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.34,291.61,302.28,184.91,18.37,3.96,7.7,0.0,0.0,973.17
296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.98,280.94,294.8,183.26,18.37,3.96,9.02,0.0,0.0,946.33
297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.62,270.49,285.89,183.26,20.02,5.28,11.66,0.0,0.0,924.22
298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.26,260.15,278.52,183.26,21.67,5.28,14.19,0.0,0.0,902.33
299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.9,248.05,272.91,184.91,23.32,7.92,18.15,0.0,0.0,886.16
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.54,237.82,268.73,188.43,26.62,9.24,24.64,0.0,0.0,878.02
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.29,225.72,265.87,191.84,28.38,11.88,29.81,2.64,0.0,870.43
302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.04,215.27,261.69,197.01,31.68,14.52,36.3,3.96,0.0,866.47
303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.79,202.95,258.94,202.18,34.98,17.16,42.79,3.96,0.0,860.75
304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.19,194.15,256.19,205.59,38.39,21.23,50.6,5.28,0.0,862.62
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.59,183.59,251.9,212.41,41.69,23.87,57.2,5.28,0.0,860.53
306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.34,174.79,247.72,219.34,43.34,29.15,62.81,5.28,0.0,858.77
307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.09,166.43,243.54,226.27,46.75,33.11,68.42,6.6,0.0,859.21
308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.84,158.51,237.93,235.29,48.4,37.18,74.14,6.6,0.0,857.89
309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.9,152.13,232.43,242.55,50.05,41.14,79.75,6.6,0.0,858.55
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.62,145.75,226.82,249.81,51.7,45.1,86.9,7.92,0.0,862.62
311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.34,137.83,221.1,257.07,55.11,50.38,92.51,7.92,0.0,865.26
312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.38,129.91,215.27,262.57,56.76,54.34,98.23,9.24,0.0,865.7
313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.74,123.64,209.55,269.83,60.17,58.63,105.27,9.24,0.0,873.07
314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.42,114.07,202.29,275.22,61.82,64.57,112.42,10.56,0.0,876.37
315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,106.37,195.03,282.59,63.58,68.97,119.9,10.56,0.0,881.1
316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.78,98.67,186.34,289.85,66.99,74.8,127.49,11.88,0.0,888.8
317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.46,89.43,177.54,297.22,68.64,80.63,135.08,11.88,0.0,891.88
318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14,80.19,166.21,304.59,72.05,85.14,144.1,13.2,0.0,895.62
319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.61,70.95,155.21,311.96,73.7,90.97,151.69,13.2,0.0,895.29
320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.29,61.71,144.1,317.46,77.11,96.8,162.25,14.52,0.0,900.24
321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.97,52.91,131.67,322.96,77.11,102.74,171.71,15.84,0.0,899.91
322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.65,44.33,119.35,328.46,80.52,108.57,183.04,15.84,0.0,903.76
323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.33,35.75,105.49,333.96,82.17,116.05,194.37,15.84,0.0,905.96
324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69,28.6,91.63,337.48,83.93,122.43,207.24,17.16,0.0,908.16
325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,22.88,76.45,341.11,85.58,130.46,221.76,18.59,0.0,915.2
326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,18.59,57.09,344.74,87.34,136.84,236.28,18.59,0.0,915.2
327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,15.73,36.63,344.74,88.99,146.52,254.1,19.91,0.0,918.39
328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.49,11.44,23.43,337.48,87.34,154.44,273.57,19.91,0.0,914.1
329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,8.58,19.03,326.59,85.58,164.12,293.92,21.23,0.0,922.9
330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,8.58,16.06,311.96,80.52,174.13,312.84,22.55,0.0,929.17
331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,7.15,14.63,295.35,77.11,186.34,330.11,25.19,0.0,938.41
332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,11.66,278.85,70.29,196.79,345.18,27.83,0.0,936.32
333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,11.66,260.7,63.58,209.0,358.71,31.79,0.0,941.16
334,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,10.23,242.55,55.11,221.21,370.48,35.75,2.31,939.62
335,4.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,8.8,222.75,46.75,231.55,382.36,42.46,4.73,938.96
336,5.94,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,4.29,8.8,202.18,36.74,241.89,390.83,50.38,8.47,935.11
337,5.94,3.19,5.06,0.0,0.0,0.0,0.0,0.0,0.0,2.86,7.26,179.85,26.62,250.47,394.24,57.2,14.19,918.5
338,10.78,4.84,7.59,0.0,0.0,0.0,0.0,0.0,0.0,2.86,5.83,156.42,18.37,257.4,397.76,65.78,23.21,904.42
339,21.56,4.84,7.59,0.0,0.0,0.0,0.0,0.0,0.0,2.86,5.83,130.9,16.61,260.81,396.0,74.36,33.99,887.37
340,51.7,8.03,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,102.63,14.96,264.33,389.07,81.51,68.53,856.9
341,192.17,144.32,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,73.7,16.61,264.33,380.6,87.23,369.49,825.33
342,226.05,225.61,115.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,46.86,16.61,260.81,363.77,94.38,567.6,785.29
343,222.97,284.02,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26,18.37,250.47,336.82,100.1,693.99,735.02
344,213.73,329.34,236.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.86,20.02,212.41,275.22,111.54,780.01,644.05
345,193.71,356.73,273.13,25.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.89,20.02,162.47,184.69,138.82,848.76,527.89
346,173.69,368.72,296.01,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.03,20.02,107.14,103.84,170.5,890.12,420.53
347,161.59,361.9,325.6,71.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.06,18.37,50.38,65.67,170.5,920.37,320.98
348,157.19,356.73,365.31,92.51,0.0,14.96,0.0,0.0,0.0,0.0,0.0,13.09,13.31,38.5,51.92,117.37,986.7,234.19
349,158.62,351.56,410.96,92.51,9.46,46.53,11.44,3.96,0.0,0.0,0.0,11.66,10.01,27.83,40.26,80.08,1085.04,169.84
350,164.56,344.63,448.91,85.47,19.03,61.16,20.02,6.71,0.0,0.0,0.0,8.69,8.25,21.23,31.13,53.02,1150.49,122.32
351,169.07,337.81,481.14,78.32,24.42,67.54,37.18,9.35,0.0,0.0,0.0,7.26,4.95,13.2,23.32,35.75,1204.83,84.48
352,173.69,330.99,504.35,72.71,28.6,70.62,50.05,10.67,0.0,0.0,0.0,5.83,3.3,9.24,16.83,27.83,1241.68,63.03
353,173.69,325.93,514.91,69.85,31.24,73.81,63.47,12.1,0.0,0.0,0.0,4.29,0.0,5.28,11.66,17.16,1265.0,38.39
354,173.69,320.87,518.54,65.67,32.67,73.81,69.85,13.42,0.0,0.0,0.0,4.29,0.0,3.96,9.02,3.96,1268.52,21.23
355,172.15,315.92,514.91,64.24,33.99,73.81,74.58,13.42,0.0,0.0,0.0,2.86,0.0,3.96,6.49,0.0,1263.02,13.31
356,169.07,310.86,507.87,61.38,33.99,72.27,76.12,13.42,0.0,0.0,0.0,4.29,0.0,2.64,6.49,0.0,1244.98,13.42
357,164.56,304.15,497.31,61.38,33.99,72.27,77.66,13.42,0.0,0.0,0.0,2.86,0.0,0.0,5.17,0.0,1224.74,8.03
358,158.62,297.44,484.77,59.95,35.31,72.27,79.31,13.42,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,1201.09,5.17
359,149.82,290.73,470.47,61.38,35.31,72.27,79.31,13.42,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,1172.71,3.85
360,141.02,282.37,454.3,61.38,35.31,73.81,85.58,13.42,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,1147.19,2.53
361,129.25,272.14,438.46,61.38,36.74,75.35,88.77,14.74,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,1116.83,2.53
362,117.48,261.8,419.54,62.81,38.06,75.35,91.96,14.74,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,1081.74,2.53
363,106.04,249.81,402.38,62.81,38.06,77.0,95.15,14.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.99,0.0
364,95.04,237.71,385.22,62.81,39.49,78.54,101.42,14.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.97,0.0
365,85.47,227.37,371.91,61.38,40.81,80.08,106.15,16.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.23,0.0
366,75.79,215.82,360.36,61.38,43.56,81.73,112.64,16.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.34,0.0
367,67.54,204.82,348.7,59.95,44.88,83.27,120.89,17.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.54,0.0
368,59.29,193.82,335.5,59.95,47.63,84.81,129.14,17.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.63,0.0
369,51.7,184.36,325.6,59.95,50.38,88.0,140.69,18.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.49,0.0
370,45.65,171.82,314.05,58.52,53.02,91.08,152.24,20.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.51,0.0
371,40.81,162.58,302.61,58.52,57.2,94.27,160.49,20.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.61,0.0
372,36.08,151.91,291.17,57.09,59.73,97.46,173.91,22.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.23,0.0
373,32.45,142.78,281.27,58.52,62.37,102.19,186.34,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.12,0.0
374,30.03,133.65,271.48,58.52,65.01,106.92,200.53,26.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.98,0.0
375,27.61,124.52,259.93,58.52,68.97,110.0,213.07,28.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.89,0.0
376,25.19,115.39,248.49,58.52,71.61,115.06,227.26,30.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.43,0.0
377,22.77,107.8,236.94,59.95,75.57,121.88,237.93,34.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.82,0.0
378,21.56,100.32,222.2,61.38,78.21,128.81,253.88,38.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.3,0.0
379,20.35,92.73,207.79,64.24,80.85,135.74,264.55,43.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.26,0.0
380,19.14,85.14,193.38,66.99,84.81,144.32,278.85,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.03,0.0
381,16.83,77.66,177.43,69.85,86.02,152.9,286.0,55.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.8,0.0
382,16.83,70.07,160.6,74.14,89.98,161.59,300.52,63.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.64,0.0
383,14.41,62.48,144.21,78.32,92.62,170.39,311.3,71.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.12,0.0
384,13.2,53.24,127.82,81.18,93.94,179.41,322.08,81.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.6,0.0
385,13.2,45.21,111.54,84.04,96.58,188.54,336.82,90.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.68,0.0
386,10.78,35.53,94.38,86.9,99.22,199.43,346.5,101.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.83,0.0
387,9.57,25.74,75.79,88.33,100.54,208.45,360.03,111.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.99,0.0
388,9.57,19.36,55.88,89.65,103.18,215.71,371.58,122.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.14,0.0
389,8.36,14.52,40.59,88.33,104.5,226.71,385.22,134.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.65,0.0
390,8.36,12.87,29.15,86.9,104.5,233.97,400.07,145.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.91,0.0
391,7.15,11.22,21.56,82.61,101.86,243.21,413.16,157.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.07,0.0
392,5.94,9.68,17.71,77.0,99.22,250.58,424.27,169.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.91,0.0
393,4.73,8.03,15.18,71.28,95.26,257.84,435.49,181.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.87,0.0
394,3.52,8.03,13.97,65.67,89.98,267.08,441.1,192.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082.18,0.0
395,3.52,6.38,12.65,61.38,83.49,274.34,444.95,202.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.66,0.0
396,2.31,6.38,11.44,57.09,75.57,283.58,444.95,214.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.04,0.0
397,2.31,4.84,11.44,51.7,66.33,292.6,446.93,223.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.23,0.0
398,2.31,4.84,10.12,45.1,55.77,299.86,442.97,229.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.87,0.0
399,2.31,4.84,8.8,37.18,44.88,307.12,441.1,238.37,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.6,2.53
