Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.83,20.68,20.79,147.51,130.79,153.56,257.73,73.15,0.0,832.04
355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,16.5,18.15,144.87,130.79,155.87,266.64,75.57,0.0,833.14
356,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,23.21,14.41,12.98,142.23,130.79,158.18,271.15,75.57,3.63,828.52
357,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,20.13,12.32,10.34,136.84,128.04,160.49,280.06,77.99,3.63,826.21
358,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,20.13,10.34,10.34,126.28,125.29,160.49,286.99,80.41,3.63,820.27
359,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,18.59,8.25,7.7,113.08,122.65,160.49,293.81,80.41,3.63,804.98
360,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,18.59,8.25,7.7,98.56,119.9,160.49,300.74,85.14,3.63,799.37
361,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,18.59,8.25,5.17,84.04,114.51,162.8,307.56,89.87,3.63,790.79
362,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,18.59,8.25,5.17,69.52,111.98,165.11,314.38,97.13,3.63,790.13
363,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,16.94,8.25,5.17,55.11,109.56,165.11,319.0,104.28,3.63,783.42
364,3.85,0.0,3.63,0.0,0.0,0.0,0.0,0.0,16.94,6.16,5.17,41.8,104.61,167.53,325.82,111.43,7.48,779.46
365,5.83,0.0,3.63,0.0,0.0,0.0,0.0,0.0,16.94,6.16,5.17,30.8,99.66,165.11,328.13,118.47,9.46,770.44
366,13.64,0.0,5.5,0.0,0.0,0.0,0.0,0.0,15.4,6.16,5.17,22.0,94.82,162.8,330.44,125.62,19.14,762.41
367,29.15,0.0,11.0,0.0,0.0,0.0,0.0,0.0,15.4,6.16,0.0,13.2,87.45,155.87,330.44,130.35,40.15,738.87
368,126.94,0.0,31.13,0.0,0.0,0.0,0.0,0.0,15.4,6.16,0.0,6.6,77.55,141.9,328.13,135.08,158.07,710.82
369,267.85,0.0,90.75,0.0,0.0,0.0,0.0,0.0,13.86,4.07,5.17,0.0,72.71,125.62,323.62,139.81,358.6,684.86
370,305.58,17.82,137.17,0.0,0.0,0.0,0.0,0.0,13.86,4.07,0.0,0.0,62.81,102.41,312.18,142.12,460.57,637.45
371,318.89,31.13,171.05,0.0,0.0,0.0,0.0,0.0,12.32,4.07,0.0,0.0,57.97,86.35,286.99,142.12,521.07,589.82
372,300.3,46.75,190.85,4.95,0.0,0.0,0.0,0.0,10.78,0.0,0.0,0.0,55.55,70.29,248.71,144.54,542.85,529.87
373,308.22,74.03,232.32,46.97,4.18,0.0,0.0,0.0,9.24,0.0,0.0,0.0,53.13,56.54,184.14,137.39,665.72,440.44
374,324.17,94.71,284.46,71.5,16.94,26.62,24.53,0.0,7.7,0.0,0.0,0.0,45.87,47.41,113.08,123.2,842.93,337.26
375,318.89,101.53,306.57,88.66,23.21,53.24,43.45,0.0,6.16,0.0,0.0,0.0,41.03,38.28,75.35,104.28,935.55,265.1
376,324.17,113.08,335.94,105.71,27.5,73.48,56.65,3.41,6.16,0.0,0.0,0.0,36.19,29.15,62.81,85.14,1039.94,219.45
